"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"PTCHD1",3.98826,4.38039,5.56282,4.27838,4.54272,3.89429,3.9103,3.79683,4.00925,4.05125,4.1869,3.8372,3.8799,3.82294,5.47453,3.83259,3.72255,4.19823,3.65583,3.95855,4.23372,4.19103,4.50835,3.76446,3.76694,3.74348,3.74966,3.50104,4.02439,3.51489,4.04474,3.85395,5.15203,4.39338,3.72999,3.84659,3.9413,4.24406,3.81661,3.72621,3.74545,3.66144,3.9633,4.10997,4.20773,3.79931,8.26137,3.91388,3.91999,3.7515,3.93278,3.91443,6.49453,4.82431,4.15382,3.94263,3.83456,3.78135,3.91819,4.02691,6.45265,3.96451,4.55563,4.01052,3.92984,3.7031,5.68855,3.83799,3.88477,3.95118,4.00998,3.74698,3.94133,3.82409,3.91831,4.77033,5.53294,3.83295,3.89062,4.00204,3.72005,4.14505,3.85234,3.74463,4.12023,4.11979,3.80247,3.8565,4.66061,3.74416,3.74875,4.0412,4.58764,3.87857,3.73113,3.90704,4.79164,4.45507,3.70229,3.7541
"100507033_at",3.95119,4.01203,4.08025,3.99114,3.90833,4.13804,4.10604,3.98851,4.00274,3.87131,4.0208,4.0985,3.6674,4.47298,3.82509,5.07331,4.04508,4.48484,5.33624,3.73462,4.52223,4.02179,3.93303,4.66685,3.87668,5.12596,4.26765,3.84461,4.53817,4.38355,3.92328,3.85463,4.31704,4.12257,4.1403,5.12856,4.60948,3.96787,3.93273,3.92071,4.19987,4.06576,3.92255,4.12122,4.06948,4.0576,3.7874,3.72068,3.87467,3.93736,3.88079,4.20211,3.90275,4.10229,3.96587,4.05981,4.53451,4.1508,4.10054,4.33939,4.93098,4.12808,4.15373,4.22539,5.97253,4.24641,4.62411,4.01032,4.06072,4.49271,3.97709,4.18353,4.06151,4.31644,3.88497,3.83662,4.13346,3.8994,4.34384,5.87682,4.09291,4.21817,4.27651,3.94863,4.11599,4.1322,4.06644,4.85584,3.99325,4.53363,3.83762,4.56974,3.99104,4.24357,4.06899,4.00789,3.7592,4.58889,3.78945,4.09751
"PINX1",7.06112,6.26043,7.40706,6.88338,7.70182,6.26074,6.67043,7.35294,7.90365,6.43067,6.40659,7.31865,6.62451,7.75304,7.04776,7.01612,6.75264,6.63165,7.01924,7.08966,6.73906,6.62645,6.38555,7.12342,6.45209,7.11293,6.98388,6.79767,6.80229,7.07351,6.60248,6.58751,6.90532,6.58239,7.43733,7.15138,6.66412,6.71774,6.43762,6.34178,6.59328,7.23037,6.35084,6.5724,6.3865,7.1544,6.66299,7.31983,6.73666,6.46814,6.8385,6.82682,7.65406,7.19142,7.0139,7.1869,6.58539,7.23994,6.74703,6.57113,7.68066,7.05682,6.84532,6.63788,7.02033,6.64435,7.36172,6.24237,6.33412,6.33564,7.37719,6.79845,6.88477,6.82269,7.26912,7.16352,6.63349,6.81353,6.72744,6.51192,7.31505,6.36729,7.08524,7.79977,6.63042,6.91041,6.59093,6.97286,7.55994,6.48017,6.81413,6.67883,7.67888,6.68977,6.83224,6.77309,7.24851,7.72344,6.34871,7.51934
"C20orf78",4.80856,4.83792,5.18517,5.24093,5.06504,4.91339,4.76395,5.11112,5.12478,4.93198,5.18454,5.06949,5.01423,5.19863,5.36259,5.04831,5.1679,5.00757,5.25769,5.26042,5.20239,4.98562,5.03623,4.8846,4.93487,4.83696,5.01668,4.23643,4.80771,4.9295,4.73357,4.70441,5.4045,5.57528,5.131,5.43259,4.95503,5.18484,5.01414,4.82414,5.33754,5.36415,5.068,5.0531,5.28365,5.15778,4.675,4.68576,4.81473,5.0946,5.18786,4.99141,5.00081,5.12727,4.73706,4.733,5.0189,5.23016,5.07942,5.28201,5.07308,4.91145,5.30062,5.0697,5.32989,4.70331,5.42529,4.93801,5.64133,5.15206,5.43308,5.02493,4.78316,5.03597,4.93331,5.1355,4.93019,4.97402,5.2071,5.19467,5.12273,5.27056,5.37432,4.85242,5.14782,4.88223,5.34591,4.96916,5.04077,5.40262,5.14199,5.50575,5.24383,5.18774,5.07911,4.83888,5.25382,4.6643,4.96681,4.98941
"PRMT1",7.08531,6.37398,7.7062,6.21851,6.54495,6.02767,5.93075,7.17188,6.87705,6.14742,6.60213,6.77218,6.14761,7.30144,6.8357,5.94974,7.47258,6.40775,6.48769,6.75678,6.99678,6.5785,6.2629,6.39109,6.53576,6.34036,6.35054,5.75186,6.14507,6.27233,5.75256,6.85612,6.50799,6.64843,6.74299,7.07321,6.65902,6.64901,6.30523,6.73242,6.90268,6.39145,6.65212,6.17087,6.99925,6.27298,5.74875,7.08392,5.7873,6.84838,6.31087,7.28146,6.69683,6.6599,6.62019,6.46525,6.94502,7.15219,6.10881,5.92313,7.06776,6.50445,6.21895,6.69834,5.95914,6.43313,6.11898,6.54387,6.48549,6.25494,6.60506,6.17865,6.57719,7.17499,7.36201,6.34019,6.10592,6.69521,6.3396,6.74321,6.46356,6.54593,6.59078,7.5401,6.19576,6.17746,5.75111,6.92818,6.74536,6.48678,7.69296,6.54924,6.60637,6.06721,6.98848,5.84622,6.43607,6.87802,6.60382,6.81956
"SLC35F3",5.88901,6.04392,5.28771,6.33011,6.18393,4.94335,5.52202,7.76537,5.00618,5.66813,6.09409,4.79721,4.65002,6.00299,6.10374,5.79994,9.54647,4.81962,4.64667,6.13907,7.31442,4.91043,3.98188,5.01229,6.26019,5.42243,4.16406,4.58289,4.30826,4.28453,3.8002,4.14226,4.93605,6.93707,6.72742,4.48695,4.46988,6.98698,4.4471,6.58803,5.49699,4.61017,8.09277,5.57126,4.75322,5.05497,5.17935,6.41052,6.98713,4.30767,5.01948,6.78843,6.93505,6.43532,4.42779,6.58841,4.0289,4.58567,4.29014,6.12857,4.34178,5.82094,5.36189,4.47316,4.90841,7.41052,7.96561,6.63167,5.78106,4.24208,5.9974,5.10802,4.58532,4.70484,4.56934,4.21018,6.16219,4.84529,7.06154,8.30444,5.13052,4.87962,6.70911,6.06832,4.46311,4.71991,4.45269,4.76567,7.82953,4.94616,5.49555,4.55635,4.77249,6.86994,7.52285,5.07315,5.23104,5.03981,5.77156,4.2697
"CWC27",9.75379,8.77122,9.27372,8.77708,8.94659,8.11063,8.39154,8.83368,8.60288,9.34231,8.82672,8.98432,9.38816,8.42566,8.46075,7.92396,8.83292,8.98828,8.65665,8.22746,8.5696,8.7686,8.55636,8.39996,9.51434,8.47405,8.19227,8.50263,8.07809,8.41366,8.47596,8.6506,7.40995,8.04702,8.57203,9.481,8.96027,8.29646,9.01429,8.62704,8.17786,7.86753,8.6339,8.17088,8.29004,8.85578,9.41467,8.86958,8.88709,8.65721,8.24512,8.68955,8.74464,8.91939,8.88868,8.92992,8.24977,9.12538,8.17171,10.46847,9.05103,8.26595,8.8037,8.95,7.87401,8.22109,7.88348,9.02564,8.40988,8.25616,9.14058,8.20947,8.55334,8.90218,9.15742,8.95716,8.95637,8.58474,8.89063,9.43723,9.46234,8.98104,8.51304,9.58114,8.39348,9.36191,7.74085,8.97107,9.03763,8.90103,9.10583,8.62489,8.203,8.94814,8.70613,8.12731,6.61604,8.29742,8.6972,9.17301
"SUCLA2-AS1",3.45973,3.75262,3.70747,3.8253,3.79924,3.47432,3.6417,3.79888,4.02989,3.46412,3.84609,3.87811,3.51684,3.55072,3.88233,3.92258,3.64258,3.88552,3.86097,3.88393,3.89733,3.8501,4.13462,3.61567,3.61109,3.81973,3.98138,3.33109,3.79108,3.90798,3.6083,3.71958,3.67421,3.74816,3.7168,3.64545,3.48802,3.85438,3.74643,3.65468,3.76239,3.64111,3.70879,3.92499,3.6257,3.59539,3.35188,3.80001,3.69899,3.70379,3.81055,3.64564,3.82908,3.78418,3.38413,3.78043,3.61999,3.68726,3.63231,3.6093,3.76748,3.7106,3.77607,3.66493,3.87145,3.67842,3.8356,3.82071,4.12889,3.86917,3.89175,3.78596,3.79975,3.97024,3.77754,3.62844,3.83014,3.93736,3.52913,4.36171,3.83391,3.62875,3.96115,3.6018,3.95396,3.66385,3.7185,3.76137,3.93774,3.55588,3.9909,3.83771,3.92018,3.82513,3.73686,3.78759,3.7706,3.57088,3.73805,3.58491
"CPSF3L",8.26635,7.99445,8.78907,8.34484,8.73679,8.34082,7.98449,7.96272,8.7583,7.84899,8.67508,8.17212,8.37758,8.977,8.05628,8.50785,8.44047,8.17318,8.24459,8.44668,8.58121,7.95222,8.28736,7.92403,8.25915,7.9809,8.64184,9.13746,8.03967,8.46556,9.09347,8.64047,8.2355,8.45739,8.25438,9.33801,8.4106,7.69549,8.21266,8.52244,8.39917,8.47127,8.21123,7.98083,8.5726,8.12594,8.6895,8.51762,8.69094,8.76349,8.86388,8.39376,7.85773,8.43671,7.85672,8.37758,8.38982,9.09914,8.16698,8.81559,7.66476,8.25816,8.47716,8.53509,8.90793,8.76953,7.90382,8.27615,8.64559,8.34782,8.77425,8.80265,8.03327,8.56255,8.71627,8.54728,8.1491,7.90517,8.65364,8.67479,7.57499,7.88248,8.62041,8.26644,8.61586,8.01469,8.02462,8.10401,8.28287,7.84819,8.26114,8.01208,8.94852,8.06718,8.0363,8.69829,7.91038,8.52997,8.92388,9.1165
"RMDN2",5.38843,6.947,5.11469,5.34071,5.40842,5.21479,6.14292,5.35047,5.14089,5.5401,5.54327,5.13331,5.35437,4.88072,5.34128,5.44531,4.86579,6.16526,4.95804,5.10093,5.6558,5.88222,5.6204,4.97715,5.34081,5.48999,5.70929,4.9811,5.70914,5.17194,6.72051,4.84764,5.69357,5.33879,5.15894,4.57664,5.80417,5.48251,5.23994,5.36925,5.28173,5.21154,5.1196,6.39176,5.73058,5.46765,4.83794,5.49504,4.5425,6.0573,6.35931,5.4336,5.4045,5.97523,5.2952,5.82987,5.85287,5.4768,5.62722,6.32771,5.45685,5.57968,6.55017,5.69573,5.78687,5.17381,5.55847,5.35373,5.65544,5.74916,6.42627,6.00494,5.76441,5.15476,5.88579,5.78349,6.23045,5.74113,7.31055,5.22877,5.78368,5.46146,5.53113,5.44452,5.0575,6.12731,6.15963,5.5329,5.0959,5.57405,5.36246,6.3625,5.22385,6.34226,5.70035,6.53992,4.96373,5.27523,5.58974,5.22585
"FLJ37453",6.45381,6.63054,8.10537,6.25086,6.83813,6.39047,6.06737,6.43187,6.53856,6.08444,6.52977,5.6011,7.26791,6.69489,7.64955,6.94556,7.07926,7.01739,6.36431,6.27414,6.5563,6.31114,6.2466,6.7426,6.54298,7.48281,6.03153,8.68598,5.97701,8.51458,6.33557,7.06931,6.07352,6.74747,6.15183,6.84661,6.49614,6.71361,6.51683,6.38454,7.46546,6.21545,6.10384,6.12279,6.10778,6.51457,6.62694,6.29011,6.51021,6.98682,6.97425,7.69887,6.9156,6.00277,6.13859,6.86894,6.21699,5.62192,6.17188,6.37135,6.42431,6.70279,6.84411,6.69922,6.55176,5.95397,6.49321,6.22302,5.9185,5.9892,6.44074,5.71633,6.53339,6.74191,6.27687,6.32989,5.88553,6.64719,6.79961,7.44344,6.60661,6.02571,6.159,7.53439,6.19424,6.06443,6.39187,6.68845,6.35212,6.94851,7.51208,7.0672,6.793,6.49533,6.32484,6.31369,6.66211,6.49115,6.5754,7.57137
"NTN5",6.2616,6.22185,6.39608,6.63567,6.2228,6.44947,6.10661,6.50193,6.71452,6.03835,6.80144,6.73456,6.14458,6.37853,6.88806,6.19382,6.62378,6.34116,6.81884,6.20808,7.8317,6.56169,6.19563,6.3785,6.2143,6.34078,6.34116,5.93642,6.26822,6.53827,6.29955,6.22214,6.813,6.65194,6.45323,6.40315,6.52967,6.45509,6.43425,6.24237,6.5422,6.17404,6.24729,6.23457,6.3851,6.32788,6.04855,6.33277,6.39938,6.63618,6.90037,6.7558,6.3076,6.67297,6.33567,6.79624,6.686,6.35314,6.2345,6.57921,6.32952,6.38103,6.60936,6.40856,6.79821,6.32951,6.75462,6.45541,6.48184,6.43927,6.28312,6.27436,6.56443,6.29984,6.33448,6.34078,6.61417,6.64761,6.48548,6.84532,6.70606,6.47561,6.54766,6.55826,6.59894,6.08411,6.52541,6.52421,6.46972,6.02102,7.46137,6.45084,6.76502,6.34299,6.88984,6.28189,6.36576,6.58498,6.61312,6.22841
"FAM134C",9.81227,9.92424,9.3207,10.14832,10.30983,9.96435,9.18952,9.966,9.75868,10.45745,9.2587,10.20703,9.79846,9.57216,9.98588,9.66124,10.01013,10.12686,9.45625,9.88253,9.76679,10.11934,9.77992,10.18568,9.76217,9.58666,9.3113,9.36355,9.72801,9.62664,9.80042,9.48211,10.13483,9.64967,9.24205,9.60213,9.77693,9.81482,9.99944,9.40371,9.26173,9.97569,10.1082,9.78393,9.85751,9.78582,9.73261,9.69235,8.91959,9.6025,9.63252,10.32138,9.65085,10.21959,9.28148,9.90188,9.93795,10.04076,9.80722,9.86962,9.69574,8.68445,10.03872,10.41149,9.27527,9.22326,9.21403,9.8303,9.69218,9.82883,9.92119,9.47351,9.60178,9.52974,9.6537,10.32841,10.11843,9.84546,10.12348,9.59855,9.57141,9.83182,9.64883,9.33373,9.69196,9.98669,10.04335,10.67607,9.83811,9.56403,10.14525,9.74177,10.5955,9.84924,9.61385,9.51554,9.86681,9.20917,9.16295,10.07252
"LINC01465",3.73303,4.17035,4.1654,3.84036,3.65714,3.94145,3.76782,4.59407,3.61647,3.97286,4.30287,3.95704,4.01035,3.83812,4.58384,4.00692,4.91398,3.9853,3.68589,3.89163,4.15303,4.05851,3.65539,4.41379,3.99144,4.16889,4.21081,4.28116,3.90046,4.59593,3.77571,4.27445,3.81627,4.46838,4.33242,3.96544,4.08061,4.04415,3.94777,3.76706,4.07377,3.61704,4.04402,3.91921,4.14539,3.94269,3.73986,3.88641,3.97454,3.90129,3.88146,3.98404,4.44044,3.82328,3.61859,4.23766,4.0877,4.06195,3.63366,3.86901,3.96919,3.97687,4.04921,4.04568,3.99681,4.00287,4.13932,3.79187,4.57461,4.00019,4.0373,3.62429,3.89663,4.27328,4.27978,3.89334,3.85854,4.28297,4.1553,4.01351,4.09373,4.18559,4.09037,4.1378,4.21749,4.10807,3.88521,4.12682,4.317,4.27963,3.96025,4.52551,3.85795,4.1481,4.25562,3.7866,4.57802,3.88634,3.80066,4.01692
"PLOD3",8.93156,10.04987,8.2556,9.51687,10.04377,10.31492,9.19736,10.10069,9.94033,9.96776,8.81847,9.76873,9.41918,9.85926,9.39325,9.03349,9.49015,9.76844,8.80417,10.17032,9.53763,9.19174,10.20256,9.43251,10.33468,9.50977,10.48231,9.46535,10.46651,9.09238,10.78809,10.46201,10.26717,10.28099,10.05877,8.96167,9.49846,9.24124,10.31439,9.26085,9.87809,9.72543,10.37132,9.58396,10.08077,10.09425,9.83252,10.11407,9.09849,8.82725,9.70538,9.67013,10.34239,9.45531,9.07984,9.33185,9.64408,10.78825,10.50914,9.7884,9.20518,11.30887,9.40332,10.04518,9.69956,9.23763,9.34712,9.36949,10.82241,10.67246,9.72642,10.06104,9.69367,9.80055,9.95444,9.40688,9.7429,9.61734,9.14078,10.09744,9.52176,9.45506,10.69586,9.76482,10.66228,9.60412,9.24285,9.15927,9.76559,9.1287,9.23788,9.39807,9.74696,9.2451,9.48295,10.10511,9.45913,9.70621,9.05177,9.00699
"PRPF4B",8.18612,7.81607,8.76047,8.6927,7.95087,7.73699,8.47885,7.06613,8.89829,8.01755,7.70771,7.9222,8.62413,8.98755,7.94811,8.10728,8.38979,8.04187,8.1348,8.96284,7.44295,7.70915,7.81118,7.67865,8.13603,7.62671,8.57202,9.96489,8.70163,8.16487,8.61531,9.09409,7.90877,8.2591,8.37627,8.09143,7.95989,7.89769,7.90639,8.44614,7.85665,8.76062,7.84597,8.48225,8.90897,7.94439,9.08109,8.31207,8.90805,8.47961,7.78571,7.6022,7.35904,7.78609,8.51507,7.38122,8.19587,8.74998,8.60636,8.17505,10.13589,8.07109,7.60099,7.67315,7.95845,8.35054,7.94545,8.42719,7.68745,8.23772,8.37384,8.32345,8.22739,8.06096,7.83828,7.32459,7.11918,7.6072,7.85333,7.9187,8.15604,8.10931,8.05508,8.15681,8.23312,7.76307,8.6449,7.63273,7.56747,7.61038,8.44439,7.28377,7.75883,7.54552,7.53078,8.19984,8.02499,8.17144,9.21813,8.91815
"PCED1B",6.72625,7.45944,7.13558,7.26801,7.24062,7.75497,7.02054,6.61045,7.39841,7.96093,6.76699,7.71031,7.09367,5.85479,6.92079,6.9727,6.49594,7.14628,7.0492,6.0949,7.40748,7.52113,9.02555,6.72761,6.90854,5.97991,8.52052,6.68369,7.73286,6.50389,7.43242,6.49955,8.47246,6.44566,6.31519,5.64317,7.66472,7.02076,9.15497,6.2133,7.2803,8.23862,6.68439,7.08538,7.24783,7.50657,6.99733,7.42564,5.35086,7.10803,8.43354,7.48458,7.20097,7.93045,6.67811,6.68292,7.45772,7.69864,8.89096,7.84743,5.73912,6.33601,7.50387,7.75829,7.6156,6.83791,6.19876,7.68585,8.34085,7.75274,7.19035,7.49807,6.71584,6.68253,6.91857,7.02338,7.88815,8.64029,7.12783,7.20897,7.94791,7.77477,7.87347,5.95317,7.63314,7.77749,6.81215,6.81701,7.49236,7.25051,10.0704,8.28749,7.52222,7.13685,7.10614,7.51738,6.27456,5.80795,6.29427,6.22959
"GH1",5.62113,5.50051,5.66853,5.61148,5.63479,5.8342,5.73462,5.66584,5.79276,5.54052,5.85205,5.72928,5.53514,6.03269,5.62353,5.47936,5.6962,5.46205,6.29882,5.75379,5.69987,5.48428,5.66833,5.46842,5.51688,5.27068,5.69526,5.44569,5.59087,5.44335,5.63126,5.82559,5.81486,5.94461,5.87887,5.75793,5.97064,5.55656,5.38316,5.704,5.76112,5.66095,5.53387,5.84178,5.63061,5.30469,5.26893,5.55352,5.76205,6.15593,6.12014,5.54441,5.72747,5.8814,5.72962,5.69313,5.89715,5.99273,5.71392,5.66916,5.50767,5.78634,6.00457,5.52111,5.96375,5.77724,6.56707,5.64572,6.06435,5.96227,5.84902,5.94019,5.72294,5.76094,5.58246,5.72651,5.54418,5.71821,5.61208,5.91977,5.95392,5.49433,6.06707,5.79976,5.98081,5.60289,5.78815,5.73073,5.48042,5.73963,5.5496,5.74863,5.84715,5.65037,5.68681,5.49354,5.69943,5.72496,5.84791,5.74436
"SLC4A4",4.61155,5.03107,4.7737,4.72683,5.54639,5.90061,7.27909,4.73166,4.4622,5.36807,6.3818,4.78364,6.31812,4.73364,4.74782,4.70029,5.31577,5.67991,4.3084,4.76953,4.74416,5.05904,5.75252,4.6472,5.50509,4.48647,4.67458,5.06565,4.54245,4.70881,6.30589,4.71833,4.56544,4.75581,4.52228,4.6954,4.61929,4.65875,4.93436,4.87738,4.89424,5.42566,4.85157,7.39943,4.7746,5.34667,6.74852,4.75194,4.31983,4.83365,6.70586,5.43876,4.7827,5.62395,5.54969,5.79442,4.64796,4.92547,4.84324,6.71409,4.99329,5.39478,6.37144,5.78154,4.57084,4.59633,4.90481,4.78937,4.78776,8.41771,4.69836,5.34769,6.95027,4.99058,5.25182,5.74048,5.31079,4.72196,5.27475,4.65923,4.63988,5.65844,5.06067,4.81249,5.3321,5.52816,7.77605,4.74305,4.63353,5.20398,4.72097,5.45288,4.85215,5.22954,4.70286,4.54741,4.54081,4.72263,5.5053,4.913
"HRC",4.93332,4.93791,4.99598,4.57852,5.11093,5.20363,4.90671,4.99594,5.23402,5.01863,5.13702,5.5046,4.84391,4.89647,5.20054,4.821,4.95444,4.95333,5.29391,4.92027,4.87632,5.35569,4.91867,4.81995,4.7944,4.88049,4.9946,4.97143,4.6685,5.19575,5.04593,4.98613,5.55064,5.15815,4.78244,5.35366,5.23253,4.97866,4.88722,4.86329,5.03795,4.98906,4.88329,4.95909,5.05431,5.26372,4.20525,4.91505,5.01369,5.11595,5.92518,5.24868,4.78645,5.39287,4.81176,5.10542,4.99567,5.52896,4.5341,4.99128,4.80261,4.82676,4.83796,5.35804,4.9851,4.29708,5.36756,4.96248,5.16026,5.44909,4.99949,4.97757,4.50215,4.6792,4.71663,4.8678,5.19218,5.03551,4.81409,5.08523,4.78236,5.13276,5.91458,4.92311,5.23945,5.17358,5.0494,5.27065,4.99102,4.71756,5.28822,5.18336,5.45871,5.02626,5.18938,5.08571,5.00267,4.29196,5.00174,4.89992
"FOXN1",4.57156,4.51804,4.5815,5.68039,4.34396,4.63197,4.60724,4.40507,4.3589,4.42726,4.75052,5.58786,4.56541,5.12646,4.70051,5.66441,4.73453,4.50877,5.22256,4.69301,4.83321,4.56287,4.45533,4.87447,4.48468,4.64767,5.04706,4.11721,4.56183,4.65256,4.19638,4.19707,5.16266,4.78013,4.5409,4.76946,4.9798,4.84755,4.40863,4.31219,4.68401,4.73091,4.69788,4.97262,4.52443,4.68243,4.1654,4.46057,5.06216,5.20159,4.81717,4.65386,4.60572,4.62634,4.71814,4.53211,4.41633,4.4825,4.43778,4.52038,4.40063,4.53345,4.82303,4.68198,5.08012,4.6768,5.44786,4.62228,4.82816,4.54081,5.09845,4.82998,4.52423,4.61496,4.5269,4.18224,4.56235,4.70459,4.57345,4.42882,4.76576,4.5245,4.86639,4.54534,4.91532,4.43149,4.47498,4.70714,4.89838,4.21822,4.66615,4.89465,4.84419,4.58857,4.58678,4.41278,6.37169,4.71429,4.34266,4.62584
"DHRS2",5.56569,6.06422,6.468,5.17122,6.06432,4.80795,4.23722,4.65536,6.17831,4.55374,4.84954,5.10842,5.26615,7.36381,5.74384,5.43724,4.45002,5.34857,7.23188,4.2924,6.58227,5.15284,4.99573,5.16201,4.51908,6.39219,4.81734,5.94241,4.55015,6.35419,6.19072,5.48023,5.57378,4.99077,4.33526,11.08594,13.69932,4.62886,4.50265,4.73325,4.37592,4.27738,4.28119,4.36214,5.28857,4.79263,5.2293,5.30821,5.00568,4.77862,6.83076,5.49007,4.43927,4.69374,4.40012,4.88628,4.90686,5.23599,4.37767,5.17147,4.77148,5.13905,5.95395,4.56008,4.60503,4.29048,4.48118,4.37193,6.76955,5.54046,4.27769,4.42078,4.76887,7.96522,6.56822,4.61566,6.13494,4.86082,4.81562,3.97002,4.48698,5.44743,4.56639,5.05918,6.0064,4.60338,4.55252,5.67979,4.7529,4.28788,4.37696,4.60627,6.7779,4.2819,4.69298,4.23791,4.82729,6.25191,4.48063,9.0751
"RHOC",11.029,11.31535,10.02784,10.36908,10.20574,11.09931,10.53265,10.61545,9.53357,10.62341,10.44899,10.45597,10.93919,10.17114,9.28438,10.98348,10.21077,11.73149,10.67604,9.71455,10.93328,10.24606,11.55911,10.30655,11.02324,10.98248,11.49188,9.87188,10.14796,11.35933,11.58606,11.02015,10.24868,10.37425,10.32658,10.53527,11.04724,10.88887,11.41633,10.81573,10.48963,10.31186,11.50172,9.93715,10.20984,10.59828,11.0465,10.55722,11.48954,10.63293,11.1287,10.37711,10.44424,10.78728,9.41945,11.90223,10.9062,9.75849,11.16407,10.80492,10.16081,10.71684,9.99638,12.2716,10.66778,10.15907,9.87184,10.72278,11.58031,11.20092,10.94094,11.86076,10.00022,10.77143,11.52423,11.04544,10.9731,10.71997,10.22483,10.77177,10.65981,10.28314,10.96507,10.4133,11.06588,10.7812,10.73331,9.37598,11.40662,11.40258,10.14263,10.18352,10.00496,10.60851,10.60562,10.75713,11.44013,11.61487,9.77664,9.54357
"PUS7",9.62059,9.09314,9.41796,9.06367,9.09883,9.06394,9.40332,10.17483,9.53129,9.37304,9.09777,9.58037,8.96378,10.2524,8.73794,8.971,9.73889,9.42689,9.96697,10.13071,9.24246,9.41952,8.25491,9.8137,8.75561,10.02404,8.80622,9.15604,10.12978,9.61796,8.24786,9.28481,9.16742,10.22528,10.48921,10.50296,9.44003,9.45387,9.08951,9.61568,8.67772,8.23676,10.35967,9.39129,10.5546,8.94152,8.69322,9.12193,9.9683,9.15675,8.24823,9.40806,10.4515,7.97295,8.84518,9.20663,9.46929,10.397,8.81223,7.8252,10.89528,10.93544,9.64863,8.54689,8.46486,9.50178,9.59511,9.2939,8.93112,9.16276,9.38844,9.41075,9.60152,10.13944,9.58744,9.50365,8.82439,10.36974,8.27786,9.46808,9.55013,8.47924,9.28896,11.31726,9.06099,8.94539,7.93908,10.35113,9.98858,8.57064,9.17658,8.68844,8.44832,8.27922,8.57203,8.77312,7.68971,10.45419,8.81556,9.86501
"HRG",4.24817,4.14933,4.19419,4.69563,4.26444,3.98165,4.06071,4.30313,4.16706,4.18191,4.17507,4.44719,4.17771,4.28795,4.24612,5.22502,4.31642,4.00374,4.19862,4.5899,4.12637,3.94521,4.26588,4.41957,4.00247,4.24958,4.19105,3.91301,4.29873,4.22494,4.08227,4.23036,4.56554,5.27381,5.21641,4.1546,4.32579,5.14444,4.21289,4.58663,4.113,3.99938,4.42302,4.33716,4.22485,4.14915,3.94115,4.15613,4.11902,4.51278,4.23767,4.17962,4.77025,4.28061,3.97588,4.22678,4.46529,4.45511,4.25241,4.23204,4.29044,4.22131,4.32469,3.98795,4.27183,4.10383,4.46411,4.05932,4.2504,4.4756,4.26498,4.13437,4.06566,4.17353,4.17193,3.97345,4.10048,5.08135,4.01316,4.45961,4.01607,4.02718,4.20868,5.15325,4.5708,4.19765,4.42403,4.25445,4.21535,4.03159,4.1268,4.20614,4.15064,4.19671,4.51265,4.29711,4.49002,5.6641,4.25053,4.1956
"PTHLH",10.23762,10.25009,4.19436,6.66836,7.31654,6.60022,4.75601,11.54653,4.37225,4.19163,4.09846,8.96889,6.6021,7.12496,4.23556,7.16157,4.88836,4.68005,4.97425,8.55477,10.77366,8.18073,3.99366,9.19625,4.7361,8.95943,4.45362,4.85289,6.35995,7.74094,3.91437,3.78116,8.82369,11.88871,9.55315,8.11327,4.72342,9.29065,5.50404,9.38064,7.53939,4.35982,10.47333,4.46443,6.82266,7.53226,5.04228,6.91015,9.02984,7.38141,4.06959,7.10437,11.82947,4.00248,5.8253,4.44024,4.17374,3.97298,4.83189,4.91961,8.68664,11.55585,3.84684,3.90786,8.94675,12.20853,11.80816,4.16574,3.97632,4.41474,9.31985,4.37389,9.75575,8.06281,10.7301,4.1128,4.47685,7.37496,3.81628,4.0433,7.77533,7.42741,4.0993,11.06807,6.00935,4.49085,4.29488,9.94774,11.69081,9.4707,3.90327,5.22095,9.01438,4.34096,10.01519,4.29374,11.07352,12.10227,4.25297,6.19757
"PNPLA6",6.71903,7.00486,7.25361,7.63498,8.00959,8.47605,7.16055,7.03238,8.65751,6.64114,6.69755,8.41185,7.02657,7.76523,6.90291,8.58116,7.22281,6.27983,8.37512,7.34586,7.46083,6.99241,8.63198,6.69997,6.89964,6.18578,8.36185,8.75531,6.96273,6.63525,8.02261,7.45764,8.32289,8.35675,8.03754,7.34355,7.9742,6.14022,7.71664,6.94019,6.76006,8.35752,7.13726,7.87212,7.5286,7.12276,8.27771,7.84241,7.41196,6.73106,8.8323,7.22958,7.06479,8.64897,7.00002,6.85873,7.89375,8.96546,7.86227,8.52378,6.39346,6.85908,7.83841,6.86308,7.94372,6.79877,7.36507,7.08214,8.14287,8.0182,7.46061,8.38654,6.83723,7.01343,7.07276,7.24951,7.89315,6.81803,7.35028,7.48049,6.5142,7.01643,8.70623,6.38148,8.20021,7.28472,7.07098,6.6467,7.4309,6.95187,6.78234,6.60524,7.45811,6.65868,10.42567,7.62057,8.33842,7.58993,6.71997,7.28865
